# 移除规则数: 1557（DoH NXDOMAIN 判定）

AI/Copilot.list	DOMAIN,gateway.bingviz.microsoft.net
Proxy/Others.list	DOMAIN-SUFFIX,acjj.net
Proxy/Others.list	DOMAIN-SUFFIX,adpornu.xyz
Proxy/Others.list	DOMAIN-SUFFIX,adult-web-site.net
Proxy/Others.list	DOMAIN-SUFFIX,adulterfree.com
Proxy/Others.list	DOMAIN-SUFFIX,adultpornvideos.net
Proxy/Others.list	DOMAIN-SUFFIX,aflamsex.net
Proxy/Others.list	DOMAIN-SUFFIX,agan2.vip
Proxy/Others.list	DOMAIN-SUFFIX,agon.cf
Proxy/Others.list	DOMAIN-SUFFIX,agzy1.com
Proxy/Others.list	DOMAIN-SUFFIX,ahlxs-me.buzz
Proxy/Others.list	DOMAIN-SUFFIX,ahlxsdh.sbs
Proxy/Others.list	DOMAIN-SUFFIX,ahxxx.club
Proxy/Others.list	DOMAIN-SUFFIX,ai7995.site
Proxy/Others.list	DOMAIN-SUFFIX,ai91porn.cc
Proxy/Others.list	DOMAIN-SUFFIX,aimei133.com
Proxy/Others.list	DOMAIN-SUFFIX,airport-gov-cn.com
Proxy/Others.list	DOMAIN-SUFFIX,aishegw.com
Proxy/Others.list	DOMAIN-SUFFIX,aiweiweiblog.com
Proxy/Others.list	DOMAIN-SUFFIX,aiwucm-us.sbs
Proxy/Others.list	DOMAIN-SUFFIX,aixingge2.cc
Proxy/Others.list	DOMAIN-SUFFIX,aizyk.buzz
Proxy/Others.list	DOMAIN-SUFFIX,aizyk.xyz
Proxy/Others.list	DOMAIN-SUFFIX,alhs.link
Proxy/Others.list	DOMAIN-SUFFIX,aliveipc.com
Proxy/Others.list	DOMAIN-SUFFIX,aliveitsm.com
Proxy/Others.list	DOMAIN-SUFFIX,aliveprofiler.com
Proxy/Others.list	DOMAIN-SUFFIX,alivercm.com
Proxy/Others.list	DOMAIN-SUFFIX,aliverewind.com
Proxy/Others.list	DOMAIN-SUFFIX,alivertsm.com
Proxy/Others.list	DOMAIN-SUFFIX,alivevm.com
Proxy/Others.list	DOMAIN-SUFFIX,alivevue.com
Proxy/Others.list	DOMAIN-SUFFIX,all4mom.org
Proxy/Others.list	DOMAIN-SUFFIX,amateurbdsmporn.com
Proxy/Others.list	DOMAIN-SUFFIX,amateurpornonly.com
Proxy/Others.list	DOMAIN-SUFFIX,amodoll.com
Proxy/Others.list	DOMAIN-SUFFIX,animegal.net
Proxy/Others.list	DOMAIN-SUFFIX,annualpelvicexam.com
Proxy/Others.list	DOMAIN-SUFFIX,ansarbank.com
Proxy/Others.list	DOMAIN-SUFFIX,anxiangxing.com
Proxy/Others.list	DOMAIN-SUFFIX,anypornhd.com
Proxy/Others.list	DOMAIN-SUFFIX,anyxxx.pro
Proxy/Others.list	DOMAIN-SUFFIX,aodahl.com
Proxy/Others.list	DOMAIN-SUFFIX,apat1989.org
Proxy/Others.list	DOMAIN-SUFFIX,applefruity.com
Proxy/Others.list	DOMAIN-SUFFIX,appsocks.net
Proxy/Others.list	DOMAIN-SUFFIX,appsonebay.net
Proxy/Others.list	DOMAIN-SUFFIX,asianporn.rest
Proxy/Others.list	DOMAIN-SUFFIX,asianporn.sexy
Proxy/Others.list	DOMAIN-SUFFIX,asianpornonly.com
Proxy/Others.list	DOMAIN-SUFFIX,asiansex.sexy
Proxy/Others.list	DOMAIN-SUFFIX,asknudes.com
Proxy/Others.list	DOMAIN-SUFFIX,askynz.net
Proxy/Others.list	DOMAIN-SUFFIX,asproexapi.com
Proxy/Others.list	DOMAIN-SUFFIX,attcollaborate.com
Proxy/Others.list	DOMAIN-SUFFIX,attjoy.com
Proxy/Others.list	DOMAIN-SUFFIX,attuverseoffers.com
Proxy/Others.list	DOMAIN-SUFFIX,attuverseonline.com
Proxy/Others.list	DOMAIN-SUFFIX,attwirelesssolutions.com
Proxy/Others.list	DOMAIN-SUFFIX,av69.us
